source_type,source_file,doc_id,contains_ubiquity_claim,claim_strength,claim_scope,confidence,evidence_sentences,rationale,citation,text_chars,snippets_used,keyword_hits,model_name,error
abstract,Abstracts_for_Monsoon.csv:row_55,10.25303/1806rjbt1320145,True,qualified,endophytes_general,0.850,Fungi are the most commonly reported organisms among endophytes.,"The text suggests that fungi, as a group among endophytes, are commonly found in plants. This implies a claim of ubiquity or near-universality for fungal endophytes.",,1967,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_83,10.1016/j.jaridenv.2012.04.009,True,explicit,endophytes_general,0.900,Fungal endophytes grow asymptomatically within the tissues of all vascular plants,"The text states that fungal endophytes grow asymptomatically within the tissues of all vascular plants, implying they are present in nearly all plants.",C) 2012 Elsevier Ltd.,1178,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_147,10.1007/s00344-022-10638-w,True,qualified,endophytes_general,0.850,"A large number of endophytic fungi inhabit various plant parts such as leaf, stem, roots.","The text suggests that a large number of endophytic fungi inhabit various parts of plants, implying they are found in numerous plants, although it does not explicitly state they are ubiquitous or present in nearly all plants.",,1539,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_315,10.1007/s11101-012-9260-6,True,explicit,endophytes_general,0.950,Almost all plants are known to harbor endophytes.,"The text explicitly states that 'almost all plants' host endophytes, indicating a claim about their ubiquity.",,1621,1,2,mistral,
abstract,Abstracts_for_Monsoon.csv:row_495,10.1111/jipb.12087,True,explicit,endophytes_general,0.950,Fungal endophytes have been isolated from almost every plant,"The text explicitly states that fungal endophytes have been isolated from 'almost every plant', which implies a near-universal presence in plants.",,1529,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_811,10.1016/j.ram.2015.11.006,True,explicit,endophytes_general,0.950,Endophytic fungi are ubiquitous and live within host plants without causing any noticeable symptoms of disease.,"The text explicitly states that 'endophytic fungi are ubiquitous', which means they are found in a large number of places or hosts without limitation.","(C) 2016 Asociacion Argentina de Microbiologia. Published by Elsevier Espana, S.L.U.",1622,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_999,10.1007/s10265-016-0802-7,True,qualified,endophytes_general,0.800,"The nearly 100 % mycorrhizal frequency, high intensity of AM colonization within root cortex and the presence of arbuscules in all mycorrhizal plant species indicate that the investigated species are able to establish AM associations in the secondary range and urban habitats. || DSE were present in all mycorrhizal and non-mycorrhizal species.","The text suggests that endophytes (both arbuscular mycorrhizal fungi and dark septate endophytes) are found in almost all the investigated plant species, as indicated by their presence in both mycorrhizal and non-mycorrhizal groups.",,1800,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1047,10.3897/mycokeys.55.35682,True,explicit,endophytes_general,0.950,Microscopy revealed that the recently discovered dark septate endophytic association specific for P. oceanica is present at all localities,"The text explicitly states that a specific type of endophyte (dark septate endophytic association) is present in all localities studied, which implies a near-universal presence across the Mediterranean seagrass Posidonia oceanica.",,1593,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1431,10.1016/j.funeco.2018.12.012,True,explicit,endophytes_general,0.950,Fungal endophytes of plants are ubiquitous,"The text explicitly states that fungal endophytes of plants are 'ubiquitous', meaning they can be found in most or all plants.",(C) 2019 Elsevier Ltd and British Mycological Society.,1114,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1503,10.1038/s41598-017-06938-x,True,qualified,endophytes_general,0.850,"In contrast, DSE were found across the entire gradient up to 6150 m.","The text states that 'DSE were found across the entire gradient up to 6150 m', which implies they are found in a wide range of elevations, and therefore, could be considered as being found in nearly all plants within that specific range.",,1296,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1567,10.1139/cjfr-2014-0171,True,explicit,endophytes_general,0.950,"Of the 109 samples tested, 100% of the rugulosin-positive samples also tested positive for P. scopiformis DAOM 229536 DNA in the qPCR assay.","The text states that out of 109 needle samples, all rugulosin-positive samples were also positive for P. scopiformis DNA, indicating a high probability that P. scopiformis is present in nearly all needle samples tested, which suggests a near-universal presence in the white spruce tree.",,1394,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1607,10.1080/00275514.2023.2258269,True,qualified,endophytes_general,0.850,Internal transcribed spacer ITS2 metabarcode data revealed that P. graminearum is distributed across a wide range of sites in North America (22 of 24 sites sampled),"The text mentions the distribution of Pleoardoris graminearum (a fungal endophyte) across a wide range of sites in North America, which implies that it is found in nearly all the sites sampled, suggesting a near-universal presence of these fungal endophytes.",,2028,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1779,10.1007/s00572-003-0224-y,True,qualified,endophytes_general,0.800,The presence of mycorrhizas in all epiphytes except Peperomia sp. suggests that inoculum levels and environmental conditions in the canopy of tropical cloud forests are generally conducive to the formation of mycorrhizas.,"The text implies that mycorrhizas (which include dark septate endophytic fungi) are present in all epiphytes except for one specific species, suggesting a near-universal presence of these types of fungal endophytes in the studied plants.",,1556,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1851,10.1093/femsec/fiw114,True,explicit,endophytes_general,0.900,Endophytes associate with the majority of plant species found in natural and managed ecosystems.,"The text states that endophytes associate with the majority of plant species, indicating a claim of ubiquity or presence in nearly all plants.",,1631,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1855,10.2307/3760534,True,explicit,endophytes_general,0.950,Discula quercina is a ubiquitous endophyte in Oregon white oak (Quercus garryana).,"The text directly states that 'Discula quercina' is a ubiquitous endophyte in Oregon white oak, which implies the fungus can be found in most or all parts of the plant.",,1010,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1895,10.1007/s12223-023-01066-8,True,qualified,endophytes_general,0.950,"Other species, such as Didymella negriana, D. variabilis, Neosetophoma sp. (species identical or sister to N. rosae), Phragmocamarosporium qujingensis and Sporocadus rosigena, have so far been little known and rarely found, but are frequent on V. vinifera in different parts of the world","The text mentions several species that are frequently found on Vitis vinifera in different parts of the world, suggesting a certain level of ubiquity for these endophytes.",,1267,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_1907,10.1016/j.funeco.2015.05.002,True,explicit,endophytes_general,0.950,Fungal endophytes are ubiquitous,The text explicitly states that 'fungal endophytes are ubiquitous'. This claim is supported by the context that they were identified in all sampled grass individuals.,(C) 2015 Elsevier Ltd and The British Mycological Society,1040,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2019,10.1016/j.ympev.2015.01.008,True,explicit,endophytes_general,0.900,"They are ubiquitous,",The text explicitly states that endophytes are ubiquitous.,,2204,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2043,10.1186/s12862-022-01974-2,True,explicit,endophytes_general,0.950,Fungal endophytes are ubiquitous within plants.,"The text explicitly states that fungal endophytes are ubiquitous within plants, which implies they are found in nearly all plants. The context of the abstract supports this interpretation, as it discusses microbial communities inhabiting pioneer plant species.",,1546,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2107,10.3732/ajb.1700149,True,qualified,endophytes_general,0.850,Fungal endophytes have been shown to colonize all land plants,"The text states that fungal endophytes are shown to colonize all land plants, which implies a ubiquitous presence but with a qualified claim since the study only specifically discusses one plant species.",,1492,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2319,10.3390/jof4020057,True,qualified,endophytes_general,0.900,"Most often fungi are the most frequently recovered endophytes from plant tissues, but bacterial forms generally occur in greater numbers, but not in species varieties.","The text states that most often fungi are the most frequently recovered endophytes from plant tissues, indicating a widespread presence of fungal endophytes across various plants. The qualification 'most often' suggests a qualified claim of ubiquity rather than absolute ubiquity.",,2639,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2447,10.17221/79/2021-JFS,True,explicit,endophytes_general,0.950,"Ascomycota were represented by 15 families and 33 species, Basidiomycota by 1 family and 2 species and Zygomycota by 2 families and 2 species. Among the isolated strains, 9 species were clearly dominant and found in all studied coniferous species.","The text states that nine fungal species were found in all studied coniferous species, which implies a claim of ubiquity for these specific fungal endophytes in the context of the study",,1460,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2467,10.21273/HORTSCI.47.6.699,True,explicit,endophytes_general,0.950,We have designated this phenomenon as habitat-adapted symbiosis and hypothesize that it is a ubiquitous aspect of plant ecology.,"The text explicitly states that the phenomenon of habitat-adapted symbiosis, which involves fungal endophytes, is hypothesized to be ubiquitous in plant ecology.",,1490,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2539,10.1111/1365-2435.14681,True,qualified,endophytes_general,0.800,"Over 3 years, the prevalence of symbiosis was approximately 100% in HMM and approximately 75% in HP.","The text states that the prevalence of symbiosis (i.e., the presence of fungal endophytes) was nearly 100% in one vegetation community (HMM) and approximately 75% in another (HP), suggesting a widespread or near-universal presence of these endophytes across these two communities.",,2109,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2555,10.1007/s00248-022-02067-9,True,qualified,endophytes_general,0.850,Foliar fungal endophytes are ubiquitous,"The text states that foliar fungal endophytes are described as ubiquitous, implying their presence in many or all plants. However, the qualifier 'foliar' suggests a specific type of endophyte and the absence of specific numerical data limits the strength of the claim.",,1372,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2631,10.1016/j.funeco.2015.05.004,True,qualified,endophytes_general,0.800,Many species of fungi occurred in the litter of all 12 species.,"The text suggests that many fungal species are found in the leaf litter of all 12 tree species, which can be interpreted as a claim that certain fungi (not necessarily endophytes) are ubiquitous among these specific tree species.",(C) 2015 Elsevier Ltd and The British Mycological Society.,1277,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_2935,10.1016/j.funeco.2011.03.001,True,qualified,endophytes_general,0.900,The endophyte was transmitted to nearly all of the progeny. || It appears that U. oxytropis has near perfect (approaching 100 %) vertical transmission to the next generation of seedlings.,"The text implies that the endophyte U. oxytropis is present in a high percentage (nearly all) of the progeny, suggesting a near-universal presence within the specific genus Astragalus and Oxytropis.",(C) 2011 Elsevier Ltd and The British Mycological Society,1974,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3199,10.47371/mycosci.2025.04.003,True,qualified,endophytes_general,0.800,"Although most OTUs were detected in only a few plant species and study sites, one OTU was found in most examined plant individuals.","The claim is based on the identification of an OTU fungus that was found in most examined plant individuals, suggesting a widespread presence among plants.",,1014,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3303,10.1071/AR9821049,True,explicit,endophytes_general,0.950,Infection by fine endophyte (a fungus which does not form large spores that can be counted) was ubiquitous,"The text explicitly states that 'infection by fine endophyte' is 'ubiquitous', indicating the presence of these fungi in nearly all the soils studied.",,1668,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3307,10.1016/j.funeco.2024.101407,True,qualified,endophytes_general,0.900,Arbuscular mycorrhizal (AM) fungi form mutualistic associations with most land plants,"The text suggests that arbuscular mycorrhizal fungi (a type of endophyte) form mutualistic associations with most land plants, which implies a near-universal presence in plants.",,1012,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_3403,10.1016/j.myc.2012.08.003,True,qualified,xylariaceous endophytes,0.950,A total of 326 isolates of xylariaceous fungi were isolated from live and dead leaves and classified into 15 OTUs.,"The text states that the researchers isolated xylariaceous fungi from a total of 94 tree species, suggesting that these endophytes were present in a diverse range of plants.",C) 2012 The Mycological Society of Japan. Published by Elsevier B.V.,1333,1,1,mistral,
